l,w,gds,id,fug,vgt,gm,gmoverid,vgs,vds,cgg,vth,vbs,cgs
9.000000000000001e-08,1.2000000000000002e-07,6.193e-05,3.283e-05,52180000000.0,0.5995,5.456e-05,1.662,1.1,0.3,1.664e-16,0.5005,0.0,-1.393e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0001176,6.355e-05,51440000000.0,0.5816,0.000107,1.684,1.1,0.3,3.311e-16,0.5184,0.0,-2.853e-16
9.000000000000001e-08,4.800000000000001e-07,0.0002201,0.0001206,50300000000.0,0.5675,0.0002085,1.729,1.1,0.3,6.597e-16,0.5325,0.0,-5.762e-16
9.000000000000001e-08,1e-06,0.0004304,0.0002372,48200000000.0,0.5586,0.0004153,1.75,1.1,0.3,1.371e-15,0.5414,0.0,-1.199e-15
9.000000000000001e-08,1.2000000000000002e-07,7.869e-05,3.792e-05,44470000000.0,0.6995,4.738e-05,1.249,1.2,0.3,1.696e-16,0.5005,0.0,-1.357e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0001508,7.349e-05,43300000000.0,0.6816,9.18e-05,1.249,1.2,0.3,3.374e-16,0.5184,0.0,-2.79e-16
9.000000000000001e-08,4.800000000000001e-07,0.0002851,0.0001399,42160000000.0,0.6675,0.000178,1.272,1.2,0.3,6.721e-16,0.5325,0.0,-5.647e-16
9.000000000000001e-08,1e-06,0.0005604,0.0002755,40000000000.0,0.6586,0.000351,1.274,1.2,0.3,1.397e-15,0.5414,0.0,-1.176e-15
9.000000000000001e-08,1.2000000000000002e-07,4.655e-11,3.562e-11,3320000.0,-0.398,1.149e-09,32.28,0.1,0.4,5.51e-17,0.498,0.0,-1.806e-17
9.000000000000001e-08,2.4000000000000003e-07,5.84e-11,4.297e-11,2002000.0,-0.4159,1.389e-09,32.37,0.1,0.4,1.105e-16,0.5159,0.0,-3.592e-17
9.000000000000001e-08,4.800000000000001e-07,7.852e-11,5.687e-11,1323000.0,-0.43,1.841e-09,32.42,0.1,0.4,2.215e-16,0.53,0.0,-7.171e-17
9.000000000000001e-08,1e-06,1.209e-10,8.636e-11,961600.0,-0.4388,2.794e-09,32.42,0.1,0.4,4.624e-16,0.5388,0.0,-1.493e-16
9.000000000000001e-08,1.2000000000000002e-07,1.094e-09,8.517e-10,73910000.0,-0.298,2.631e-08,30.89,0.2,0.4,5.665e-17,0.498,0.0,-2.112e-17
9.000000000000001e-08,2.4000000000000003e-07,1.404e-09,1.046e-09,46580000.0,-0.3159,3.269e-08,31.25,0.2,0.4,1.117e-16,0.5159,0.0,-4.006e-17
9.000000000000001e-08,4.800000000000001e-07,1.912e-09,1.398e-09,31570000.0,-0.33,4.397e-08,31.45,0.2,0.4,2.217e-16,0.53,0.0,-7.746e-17
9.000000000000001e-08,1e-06,2.957e-09,2.128e-09,23210000.0,-0.3388,6.714e-08,31.55,0.2,0.4,4.603e-16,0.5388,0.0,-1.587e-16
9.000000000000001e-08,1.2000000000000002e-07,1.842e-08,1.542e-08,940600000.0,-0.198,4.061e-07,26.34,0.3,0.4,6.872e-17,0.498,0.0,-3.598e-17
9.000000000000001e-08,2.4000000000000003e-07,2.577e-08,2.034e-08,680400000.0,-0.2159,5.581e-07,27.43,0.3,0.4,1.306e-16,0.5159,0.0,-6.429e-17
