Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
17,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",5.334,,,
17,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",4.976,,,
"Parameters: length=90n, Vd=100m, Vg=500m, width=240n",,,,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",2.641e-6,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",930.5e-9,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",10.44e9,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-26.36e-3,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",15.52e-6,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",16.68,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",500e-3,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",236.7e-18,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",526.4e-3,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
18,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-190.5e-18,,,
18,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",5.878,,,
18,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",3.877,,,
"Parameters: length=90n, Vd=100m, Vg=500m, width=480n",,,,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",4.009e-6,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",1.455e-6,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",8.754e9,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-40.48e-3,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",25.06e-6,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",17.22,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",500e-3,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",455.6e-18,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",540.5e-3,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
19,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-363.5e-18,,,
19,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",6.25,,,
